Labeled component,Whole distribution component CC,Whole distribution component SS,PU SCAR correction,Calculated loss,Epoch
0.2587796956300735,0.47959795594215393,0.4805448204278946,0.24137033224105836,0.49700731635093687,0
0.2517234519124031,0.4718315601348877,0.480133992433548,0.24842656552791595,0.4751284420490265,1
0.2448170617222786,0.46467975378036497,0.47998128533363343,0.2553329601883888,0.45416385531425474,2
0.2378386989235878,0.45782773196697235,0.4799483001232147,0.2623113304376602,0.4333550989627838,3
0.2306675672531128,0.4511663168668747,0.48039509952068327,0.26948244869709015,0.4123514384031296,4
0.22358158230781555,0.44495863020420073,0.4809884071350098,0.2765684574842453,0.39197175204753876,5
0.21639937162399292,0.4396421492099762,0.4821410089731216,0.28375065624713897,0.3722908616065979,6
0.2089754432439804,0.43460410833358765,0.4834901213645935,0.29117458164691923,0.3524049699306488,7
0.2020520105957985,0.4300732672214508,0.48542391657829287,0.2980980068445206,0.3340272754430771,8
0.195204459130764,0.42651829719543455,0.4874803423881531,0.3049455761909485,0.316777178645134,9
0.1883358031511307,0.4232924818992615,0.4899752825498581,0.31181421875953674,0.2998140722513199,10
0.18173362016677858,0.4210119992494583,0.49285570085048674,0.3184164077043533,0.2843292146921158,11
0.17481328248977662,0.41882469952106477,0.4958910197019577,0.32533673048019407,0.26830125153064727,12
0.16886214911937714,0.41745057702064514,0.4990588307380676,0.3312878668308258,0.2550248563289642,13
0.1624211773276329,0.4159450888633728,0.5021982580423355,0.3377288460731506,0.24063741862773896,14
0.1566511496901512,0.41543767750263216,0.5060329854488372,0.3434988886117935,0.22858993858098983,15
0.1514539435505867,0.4157191514968872,0.5094216465950012,0.3486960709095001,0.2184770256280899,16
0.14629160314798356,0.4154781550168991,0.5129250288009644,0.3538584291934967,0.20791132897138595,17
0.14134738445281983,0.41595627665519713,0.5162711262702941,0.3588026463985443,0.19850101470947265,18
0.1368522197008133,0.4159813910722733,0.5195895493030548,0.36329780220985414,0.18953580856323243,19
0.1323762960731983,0.4164827436208725,0.5227253377437592,0.3677737325429916,0.1810853064060211,20
0.12851687893271446,0.4173008859157562,0.5260815620422363,0.3716331422328949,0.17418462485074998,21
0.1239201083779335,0.4181602120399475,0.5291667878627777,0.37622990906238557,0.16585041135549544,22
0.12048507183790207,0.4184434711933136,0.5321288645267487,0.3796649396419525,0.15926360338926315,23
0.11701163649559021,0.41914561986923216,0.5350394546985626,0.3831383913755417,0.15301886573433876,24
0.11368153691291809,0.42011543810367585,0.5375726461410523,0.3864684760570526,0.1473284989595413,25
0.11035402715206147,0.42008028626441957,0.5398631811141967,0.38979597985744474,0.1406383343040943,26
0.10799804851412773,0.4217198580503464,0.5426379263401031,0.3921519696712494,0.12821782529354095,27
0.10515192598104477,0.42260520458221434,0.5450734794139862,0.39499810338020325,0.12707736119627952,28
0.10223661363124847,0.42242712080478667,0.5472379207611084,0.39791340529918673,0.12675032988190651,29
0.10003902092576027,0.424103769659996,0.5496020257472992,0.40011100471019745,0.11818738058209419,30
0.09691818356513977,0.4240851730108261,0.5506723880767822,0.4032318443059921,0.11663599014282226,31
0.09566004648804664,0.425326332449913,0.5530395090579987,0.4044899851083755,0.10626588463783264,32
0.09326820895075798,0.42592628598213195,0.555255550146103,0.4068817973136902,0.11231269836425781,33
0.09158938899636268,0.42704441845417024,0.5568689048290253,0.40856066048145295,0.09619860351085663,34
0.08982451856136323,0.42780421674251556,0.5587574005126953,0.41032552123069765,0.09998839274048806,35
0.08800084888935089,0.42842877209186553,0.5604284286499024,0.4121491819620132,0.09116052463650703,36
0.08606363087892532,0.4289375960826874,0.5616997659206391,0.41408638954162597,0.09290827140212059,37
0.08460622653365135,0.4302304446697235,0.5635726928710938,0.41554381251335143,0.09448061138391495,38
0.08338848799467087,0.430000314116478,0.5645695388317108,0.4167615294456482,0.08434187844395638,39
0.08185214549303055,0.4312453120946884,0.5660982370376587,0.4182978987693787,0.08808444216847419,40
0.0802902713418007,0.4308021664619446,0.5673618972301483,0.4198597460985184,0.08676846474409103,41
0.07890682518482209,0.4321296900510788,0.5688490450382233,0.421243217587471,0.06973949000239373,42
0.07781220972537994,0.43200911581516266,0.5699216604232789,0.42233782112598417,0.06721067875623703,43
0.07666225656867028,0.4330213636159897,0.5708946883678436,0.4234877645969391,0.06807240769267082,44
0.07543167918920517,0.4339087188243866,0.5724708259105682,0.4247183442115784,0.06340299323201179,45
0.07471286952495575,0.4353093206882477,0.573685348033905,0.42543716430664064,0.07350189834833146,46
0.0735931120812893,0.43512515127658846,0.5741856336593628,0.4265569061040878,0.05931631401181221,47
0.0724528506398201,0.43605204820632937,0.5756389677524567,0.4276971727609634,0.06541742458939552,48
0.07206598818302154,0.43752302825450895,0.5772667527198792,0.4280840516090393,0.061970318853855136,49
