Labeled component,Whole distribution component CC,Whole distribution component SS,PU SCAR correction,Calculated loss,Epoch
0.264704218506813,0.44832040667533873,0.45580542385578154,0.23544580936431886,0.47757881283760073,0
0.23612384349107743,0.42318851947784425,0.45791822075843813,0.26402618587017057,0.39528618156909945,1
0.21456846594810486,0.40762861669063566,0.46179072856903075,0.28558155596256257,0.33661552965641023,2
0.19715877771377563,0.3967008739709854,0.4665409177541733,0.3029912441968918,0.290868404507637,3
0.18197213858366013,0.3890430241823196,0.47163260281085967,0.31817789375782013,0.252837273478508,4
0.168622250854969,0.38270426988601686,0.47656450867652894,0.33152777552604673,0.2197987452149391,5
0.1566270187497139,0.37831044793128965,0.4809757173061371,0.34352300465106966,0.19141446202993392,6
0.14603576213121414,0.3734932214021683,0.48491900563240053,0.3541142731904984,0.16541471034288407,7
0.13655441552400588,0.36940521001815796,0.4884882539510727,0.36359559893608095,0.10502873808145523,8
0.1301385283470154,0.36746413707733155,0.49145878553390504,0.37001149654388427,0.06249524205923081,9
0.12676160484552385,0.36820449531078336,0.4945923686027527,0.3733884185552597,0.060819610953330994,10
0.12481763064861298,0.371918386220932,0.49784294068813323,0.37533240020275116,0.04706545323133469,11
0.1248004712164402,0.3757269591093063,0.501058354973793,0.37534955739974973,0.10984095260500908,12
0.12082293331623077,0.37588995397090913,0.5035817503929139,0.3793270945549011,0.05496652200818062,13
0.11844377294182777,0.37736457884311675,0.5061504572629929,0.3817062586545944,0.06134977638721466,14
0.11716182082891465,0.3808541089296341,0.5093984723091125,0.38298819661140443,0.05603066757321358,15
0.116008310765028,0.3843630999326706,0.512262487411499,0.38414171040058137,0.07341900691390038,16
0.11373498290777206,0.3866613686084747,0.5153931558132172,0.3864150375127792,0.07754110619425773,17
0.11123578548431397,0.38798344433307647,0.5177138447761536,0.3889142364263535,0.04409797638654709,18
0.10998988971114158,0.39147226214408876,0.5210604667663574,0.3901601225137711,0.0784729391336441,19
0.10747651159763336,0.3921925276517868,0.5233494520187378,0.3926735043525696,0.05412918254733086,20
0.10558423697948456,0.3942616909742355,0.5259897708892822,0.3945657789707184,0.08371094390749931,21
0.10250334590673446,0.3942109912633896,0.5279245734214782,0.39764668345451354,0.036839726567268374,22
0.10140732303261757,0.3968114644289017,0.5312142014503479,0.39874270260334016,0.065988939255476,23
0.0994294673204422,0.40056843757629396,0.5341524004936218,0.4007205694913864,0.05256316214799881,24
0.09851244390010834,0.40445642471313475,0.5373505473136901,0.40163758397102356,0.06890578791499138,25
0.09623883664608002,0.4053975075483322,0.539405232667923,0.4039112001657486,0.06863728016614914,26
0.0936080664396286,0.40539208352565764,0.5414237141609192,0.4065419673919678,0.050518547743558885,27
0.0922548845410347,0.40705679059028627,0.5433353960514069,0.4078951269388199,0.06425946205854416,28
0.08961105644702912,0.40639166831970214,0.5449483156204223,0.41053896546363833,0.04761675298213959,29
0.08836244642734528,0.4094938665628433,0.5476236343383789,0.4117875725030899,0.06342872977256775,30
0.08641102910041809,0.4101487934589386,0.5489807605743409,0.41373900771141053,0.03501948490738869,31
0.08521648421883583,0.4133102983236313,0.5524190425872803,0.41493355929851533,0.050906167924404146,32
0.0841186985373497,0.41733424961566923,0.5552582442760468,0.41603132486343386,0.05213482156395912,33
0.08290167897939682,0.41863231360912323,0.5572032868862152,0.41724834144115447,0.06407410800457,34
0.08124843761324882,0.41899059116840365,0.5585036039352417,0.4189015954732895,0.03289280161261558,35
0.08037858307361603,0.4227714121341705,0.5615100741386414,0.41977145373821256,0.05444480031728745,36
0.07837682440876961,0.42276689112186433,0.5629250586032868,0.4217732012271881,0.057848382741212845,37
0.0763901300728321,0.42165952622890474,0.5633909285068512,0.4237598985433578,0.04805856272578239,38
0.07465862929821014,0.42182090878486633,0.5647519826889038,0.42549139857292173,0.023909185826778413,39
0.07510953024029732,0.4307925581932068,0.5702910125255585,0.4250405102968216,0.06540606915950775,40
0.07344426810741425,0.42920824885368347,0.5706810593605042,0.42670574486255647,0.04724720567464828,41
0.07161092907190322,0.4282785266637802,0.5715463340282441,0.4285390913486481,0.04211428165435791,42
0.07052741795778275,0.4301995038986206,0.5729255616664887,0.42962261438369753,0.04643393605947495,43
0.06898045390844346,0.428965350985527,0.5734039902687073,0.4311695724725723,0.02946315482258797,44
0.06856998279690743,0.4338889867067337,0.5768926441669464,0.43158004283905027,0.0613402858376503,45
0.06651359051465988,0.433030703663826,0.5772712051868438,0.4336364597082138,0.03845722675323486,46
0.06483019664883613,0.4325043797492981,0.5783985435962677,0.43531984388828276,0.034417790919542314,47
0.06430463157594205,0.43571757376194,0.5811211824417114,0.4358453929424286,0.04351056888699532,48
0.06323321051895618,0.4362244516611099,0.582062304019928,0.43691681027412416,0.047553128004074095,49
