Labeled component,Whole distribution component CC,Whole distribution component SS,PU SCAR correction,Calculated loss,Epoch
0.22702569514513016,0.42882582247257234,0.43002867698669434,0.17314234226942063,0.4827091783285141,0
0.21996160745620727,0.4203499138355255,0.42901926338672636,0.18020642250776292,0.4601050943136215,1
0.21300231218338012,0.41262899339199066,0.4283980756998062,0.18716571629047393,0.4384655892848969,2
0.2059550777077675,0.40579833984375,0.4285247981548309,0.19421295672655106,0.417540454864502,3
0.19899512380361556,0.3994784981012344,0.4290533810853958,0.20117290914058686,0.397300711274147,4
0.1922513946890831,0.3942961484193802,0.4300334244966507,0.20791664123535156,0.37863089740276334,5
0.18578493744134902,0.3895963400602341,0.4313627451658249,0.2143830895423889,0.36099818646907805,6
0.17965715229511262,0.3858764111995697,0.43302891254425047,0.2205108791589737,0.3450226843357086,7
0.17357739806175232,0.38212271928787234,0.43483996093273164,0.22659062445163727,0.3291094869375229,8
0.16783739626407623,0.3790663003921509,0.4368295967578888,0.23233063668012618,0.3145730584859848,9
0.162429603934288,0.376702207326889,0.43893781304359436,0.23773843199014663,0.3013933777809143,10
0.15758413523435594,0.37493543326854706,0.44099996984004974,0.24258389919996262,0.2899356663227081,11
0.1526345893740654,0.37335715889930726,0.44313823580741885,0.24753343611955642,0.278458309173584,12
0.14869830012321472,0.37178224325180054,0.44493375420570375,0.25146974325180055,0.26901080161333085,13
0.14422535002231598,0.3698649615049362,0.44696632623672483,0.25594266355037687,0.2581476479768753,14
0.14029752388596534,0.3684630513191223,0.4485491693019867,0.25987050533294676,0.24889007061719895,15
0.13750436007976533,0.3676230877637863,0.4502625823020935,0.26266366988420486,0.24246377795934676,16
0.1336879812180996,0.3667955845594406,0.45219487249851226,0.2664800494909286,0.23400351852178575,17
0.13102160319685935,0.3661776930093765,0.45390455424785614,0.2691464304924011,0.2280528649687767,18
0.1280434846878052,0.365509432554245,0.4553023725748062,0.2721245586872101,0.2214283600449562,19
0.12479851469397545,0.36437085270881653,0.4569363921880722,0.2753695160150528,0.21379985064268112,20
0.12304570972919464,0.3640002816915512,0.4579462826251984,0.2771223187446594,0.2099236696958542,21
0.12058963850140572,0.3629614025354385,0.4589600801467896,0.27957838475704194,0.2039726570248604,22
0.11879705935716629,0.362142613530159,0.460191884636879,0.2813709646463394,0.19956870824098588,23
0.11683358252048492,0.362364199757576,0.46133372485637664,0.28333444595336915,0.19586333632469177,24
0.11445126608014107,0.3615135610103607,0.46262426674366,0.28571676909923555,0.1902480587363243,25
0.11307852491736411,0.3610496312379837,0.46318601369857787,0.28708950281143186,0.187038654088974,26
0.1113082930445671,0.36136019229888916,0.4644292801618576,0.2888597369194031,0.18380874693393706,27
0.10935472995042801,0.36097789406776426,0.4654013842344284,0.29081330001354216,0.17951932549476624,28
0.1084571897983551,0.360586616396904,0.4655939042568207,0.29171083569526673,0.17733296900987625,29
0.10638748630881309,0.35985849499702455,0.46673751175403594,0.29378054440021517,0.17246543616056442,30
0.10539009943604469,0.3605213791131973,0.4674597054719925,0.29477793276309966,0.17113354653120041,31
0.10484626516699791,0.3593589127063751,0.467963707447052,0.29532177150249483,0.16888340562582016,32
0.10332385152578354,0.35988764762878417,0.4688980609178543,0.29684417247772216,0.16636732667684556,33
0.10220020860433579,0.35919000804424284,0.46957978010177615,0.2979678213596344,0.16342239379882811,34
0.10162430629134178,0.35930559039115906,0.46970345377922057,0.29854372441768645,0.16238617673516273,35
0.0997335784137249,0.35813934803009034,0.47038341164588926,0.3004344552755356,0.1574384719133377,36
0.09873536825180054,0.35841287970542907,0.4711796909570694,0.30143265426158905,0.15571559146046637,37
0.0986881822347641,0.3584860324859619,0.4715829938650131,0.3014798521995544,0.15569436252117158,38
0.09708984568715096,0.35828282237052916,0.4724483907222748,0.3030781924724579,0.15229447558522224,39
0.09621765241026878,0.3578220009803772,0.47241032421588897,0.3039503782987595,0.1500892773270607,40
0.09557036012411117,0.3578508049249649,0.4729398816823959,0.30459766685962675,0.1488234966993332,41
0.09513411745429039,0.3574776709079742,0.4730249375104904,0.3050339162349701,0.14757787212729453,42
0.09426314905285835,0.35718950927257537,0.4738434612751007,0.30590489506721497,0.14554776325821878,43
0.09352103769779205,0.3565077602863312,0.47426283955574033,0.3066469818353653,0.143381816893816,44
0.09305253177881241,0.3575557589530945,0.4745568633079529,0.30711549520492554,0.14349279552698135,45
0.09238582998514175,0.3568620353937149,0.4747037708759308,0.3077821969985962,0.14146566689014434,46
0.09181219637393952,0.3568605065345764,0.4750577062368393,0.30835583806037903,0.14031686559319495,47
0.09166371747851372,0.3567769855260849,0.47511190474033355,0.3085043102502823,0.1332351304590702,48
0.090533047914505,0.3566333740949631,0.4758735537528992,0.30963499546051027,0.13753142803907395,49
