Labeled component,Whole distribution component CC,Whole distribution component SS,PU SCAR correction,Calculated loss,Epoch
0.28012079298496245,0.42542184591293336,0.43020820915699004,0.22002923488616943,0.4855134040117264,0
0.255208283662796,0.40237214863300325,0.4315485179424286,0.24494174122810364,0.4126386880874634,1
0.23434602916240693,0.3858131140470505,0.43431229889392853,0.2658040076494217,0.35435513257980344,2
0.21587491780519485,0.37229706943035124,0.4373035550117493,0.28427510559558866,0.3038968801498413,3
0.19852975755929947,0.3599655836820602,0.4410481631755829,0.30162026882171633,0.25687507092952727,4
0.18293307721614838,0.34946618378162386,0.44455075562000274,0.3172169506549835,0.2151823103427887,5
0.16802118569612504,0.3396597236394882,0.4479912042617798,0.33212884068489074,0.12624795585870743,6
0.15765977799892425,0.3340789288282394,0.4511231124401093,0.3424902319908142,0.04374767243862152,7
0.15563341975212097,0.33732710480690004,0.4543440729379654,0.34451660215854646,0.03841916471719742,8
0.1570756256580353,0.3431476324796677,0.4572143107652664,0.34307439923286437,0.10403258949518204,9
0.1542918160557747,0.34429932832717897,0.45989884436130524,0.34585821330547334,0.07228625416755677,10
0.1527664616703987,0.34642069041728973,0.4625982016324997,0.34738357067108155,0.08544564098119736,11
0.1503906562924385,0.3479919731616974,0.46530104875564576,0.3497593730688095,0.06947309076786042,12
0.14826782345771788,0.35056949257850645,0.468036076426506,0.35188219845294955,0.036442288756370546,13
0.14926820248365402,0.35583860576152804,0.470982226729393,0.3508818358182907,0.1121347799897194,14
0.14489569664001464,0.3550634294748306,0.473397022485733,0.35525432527065276,0.07796300798654557,15
0.14108286798000336,0.35498722493648527,0.47555637657642363,0.35906714797019956,0.05141711682081222,16
0.140106663107872,0.357772034406662,0.4784449964761734,0.3600433588027954,0.03420871049165726,17
0.14191855788230895,0.36400304436683656,0.48148939609527586,0.3582314670085907,0.11117372661828995,18
0.13823724836111068,0.3643103986978531,0.48362918198108673,0.36191278994083403,0.08882939219474792,19
0.13378902673721313,0.3622132271528244,0.4857837498188019,0.36636099219322205,0.06070444881916046,20
0.13170359134674073,0.3637148141860962,0.4880060702562332,0.36844644844532015,0.03416751474142075,21
0.13205018341541291,0.36830428838729856,0.49084254801273347,0.36809984147548674,0.07362597733736038,22
0.13053066283464432,0.3699370563030243,0.4932623773813248,0.3696193605661392,0.10016224980354309,23
0.12608051523566247,0.36904737651348113,0.49501730501651764,0.3740694999694824,0.03787009865045547,24
0.1257299304008484,0.3722648829221725,0.49812866747379303,0.37442009150981903,0.05603626817464828,25
0.12452476099133492,0.3753364086151123,0.5008246213197708,0.375625279545784,0.0826433315873146,26
0.12104089781641961,0.3747602581977844,0.5024646759033203,0.37910911440849304,0.042542044818401334,27
0.12058000937104225,0.3790280222892761,0.5056358456611634,0.379570010304451,0.045250204205513,28
0.12153763845562934,0.38523404598236083,0.5091122150421142,0.3786123752593994,0.06941200345754624,29
0.1201628252863884,0.38776340782642366,0.5118382334709167,0.37998720407485964,0.09565251097083091,30
0.11535359695553779,0.38485394716262816,0.5132627606391906,0.38479641675949094,0.07716339081525803,31
0.11122873276472092,0.3830585926771164,0.5146851658821106,0.3889212906360626,0.053508201241493226,32
0.10922680869698524,0.3852113991975784,0.5173695862293244,0.39092321395874025,0.041038119792938234,33
0.10897045955061913,0.3894460409879684,0.520526111125946,0.39117957651615143,0.05090102329850197,34
0.10780979543924332,0.3923787146806717,0.523234510421753,0.39234023094177245,0.05146472454071045,35
0.10656873136758804,0.3945693582296371,0.525971257686615,0.3935813009738922,0.050313374400138854,36
0.10503395572304726,0.39832702875137327,0.5286567211151123,0.39511606097221375,0.061923904716968535,37
0.10327210798859596,0.39987472593784334,0.531045925617218,0.39687790870666506,0.08096069768071175,38
0.09990865364670753,0.3983688920736313,0.5322423875331879,0.40024136900901797,0.0413209117949009,39
0.09930738136172294,0.40093026459217074,0.5348258078098297,0.40084264278411863,0.0583112895488739,40
0.09733717069029808,0.4016791254281998,0.5365126192569732,0.4028128445148468,0.04691178798675537,41
0.09552915990352631,0.40388198792934416,0.53917316198349,0.40462087392807006,0.03900870457291603,42
0.09588411301374436,0.40949582755565644,0.5423985004425049,0.40426590144634245,0.08478010296821595,43
0.09197693020105362,0.4064301162958145,0.5428965747356415,0.4081730842590332,0.05137050524353981,44
0.08908285647630691,0.4054898679256439,0.5441471457481384,0.41106716394424436,0.045404594391584396,45
0.0882035568356514,0.40819395184516905,0.5466739058494567,0.4119464695453644,0.04345549345016479,46
0.08710107058286667,0.41038401126861573,0.548954713344574,0.4130489557981491,0.023789743334054946,47
0.08755158483982087,0.41771969497203826,0.5535996913909912,0.41259844303131105,0.06260978803038597,48
0.08638868033885956,0.41993208527565,0.5557195365428924,0.4137613236904144,0.061823876947164534,49
